headline,label,score,raw_label,source,published,link
"Nvidia Hits $5 Trillion, But Can It Survive Without China?",neutral,0.849199,Neutral,,"Fri, 07 Nov 2025 18:09:54 +0000",https://finance.yahoo.com/news/nvidia-hits-5-trillion-survive-180954378.html?.tsrc=rss
Oracle Stock Has Given Back Its Earnings Gains. Does It Have an OpenAI Problem?,negative,0.859316,Negative,,"Fri, 07 Nov 2025 17:52:00 +0000",https://finance.yahoo.com/m/edd49cff-2519-3926-8f2d-04e983e51112/oracle-stock-has-given-back.html?.tsrc=rss
J.P. Morgan raises IREN price target to $28 following Microsoft cloud deal,neutral,0.668937,Neutral,,"Fri, 07 Nov 2025 17:17:15 +0000",https://blockspace.media/insight/j-p-morgan-raises-iren-price-target-to-28-following-microsoft-cloud-deal/?.tsrc=rss
"Trump Media's Q3 loss, Microsoft eyes longest sell-off since 2011",negative,0.962687,Negative,,"Fri, 07 Nov 2025 17:09:18 +0000",https://finance.yahoo.com/video/trump-medias-q3-loss-microsoft-170918740.html?.tsrc=rss
CORRECTING and REPLACING SolarWinds Launches Autonomous Operational Resilience Tour,positive,0.840095,Positive,,"Fri, 07 Nov 2025 16:38:00 +0000",https://finance.yahoo.com/news/solarwinds-launches-autonomous-operational-resilience-160300161.html?.tsrc=rss
These Analysts Predict an AI Sell-Off. Here's the Long-Short Trade They Suggest,neutral,0.846976,Neutral,,"Fri, 07 Nov 2025 16:34:19 +0000",https://www.investopedia.com/these-analysts-predict-an-ai-sell-off-here-s-the-long-short-trade-they-suggest-11845401?.tsrc=rss
Microsoft Eyes Longest Selloff Since 2011 as AI Trade Weakens,negative,0.962947,Negative,,"Fri, 07 Nov 2025 16:06:52 +0000",https://finance.yahoo.com/news/microsoft-eyes-longest-selloff-since-160652630.html?.tsrc=rss
"Magnificent Seven Stocks: Nvidia, Tesla, Amazon, Meta Sell Off",neutral,0.890892,Neutral,,"Fri, 07 Nov 2025 15:23:44 +0000",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss
China's Power Stocks Explode as AI Data Centers Ignite a New Energy Boom,neutral,0.662719,Neutral,,"Fri, 07 Nov 2025 15:18:50 +0000",https://finance.yahoo.com/news/chinas-power-stocks-explode-ai-151850979.html?.tsrc=rss
"This Dancing Elephant Stomps All Magnificent 7 Stocks Except Google, Even Eclipsing Nvidia",neutral,0.818541,Neutral,,"Fri, 07 Nov 2025 14:44:03 +0000",https://finance.yahoo.com/m/933cba75-9a24-33cc-b4ae-b55d69c1676d/this-dancing-elephant-stomps.html?.tsrc=rss
"THE MINING POD: Cipher’s Amazon Deal, IREN’s Microsoft Deal, Q3 Earnings Recap, and is China Winning the AI Race?",neutral,0.909315,Neutral,,"Fri, 07 Nov 2025 13:37:02 +0000",https://videos.coindesk.com/previews/ldQKG6pE?.tsrc=rss
"Stocks Down Pre-Bell as Tech Weakness, Labor Market Concerns Weigh",negative,0.954873,Negative,,"Fri, 07 Nov 2025 12:38:36 +0000",https://finance.yahoo.com/news/stocks-down-pre-bell-tech-123836486.html?.tsrc=rss
Cloud AI Update - Atlas Compute Powers AI Growth With New Florida Data Center,positive,0.615672,Positive,,"Fri, 07 Nov 2025 12:38:01 +0000",https://finance.yahoo.com/news/cloud-ai-atlas-compute-powers-123801334.html?.tsrc=rss
Microsoft President Sells $20 Million in Stock After Earnings Report,neutral,0.914729,Neutral,,"Fri, 07 Nov 2025 12:29:03 +0000",https://finance.yahoo.com/news/microsoft-president-sells-20-million-122903343.html?.tsrc=rss
Why the Narrative Around Microsoft Is Evolving Amid Strong Analyst Optimism and Emerging Cloud Risks,neutral,0.821249,Neutral,,"Fri, 07 Nov 2025 12:15:46 +0000",https://finance.yahoo.com/news/why-narrative-around-microsoft-evolving-121546760.html?.tsrc=rss
Alphabet Expands Amazon Reforestation Deal With Mombak,positive,0.765025,Positive,,"Fri, 07 Nov 2025 12:05:22 +0000",https://finance.yahoo.com/news/alphabet-expands-amazon-reforestation-deal-132016704.html?.tsrc=rss
Meta Platforms Poised for 42% Upside as AI Investments Drive Next Growth Phase,positive,0.925660,Positive,,"Fri, 07 Nov 2025 11:26:37 +0000",https://finance.yahoo.com/news/meta-platforms-poised-42-upside-112637457.html?.tsrc=rss
Tesla Stock: 6 Warning Signs Every Investor Should Know,neutral,0.878110,Neutral,,"Fri, 07 Nov 2025 11:03:08 +0000",https://finance.yahoo.com/news/tesla-stock-6-warning-signs-110308296.html?.tsrc=rss
Why OpenAI might not want to go public,neutral,0.877205,Neutral,,"Fri, 07 Nov 2025 11:00:17 +0000",https://finance.yahoo.com/news/why-openai-might-not-want-to-go-public-110017536.html?.tsrc=rss
Prediction: These 5 Stocks Will Be Worth More Than $5 Trillion by 2030,neutral,0.835511,Neutral,,"Fri, 07 Nov 2025 11:00:00 +0000",https://www.fool.com/investing/2025/11/07/prediction-these-5-stocks-will-be-worth-more-than/?.tsrc=rss
